name;date;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;sunrise;sunset;moonphase;conditions;description;icon;stations
Yogyakarta;1/1/2020;31.1;23.3;25.2;37.9;23.3;26.4;23.8;91.9;52.8;100;87.5;rain;0;0;27.4;9.4;64.5;1012.0;81.2;4.3;90.5;7.3;3;;2020-01-01T05:24:38;2020-01-01T17:58:42;0.19;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/2/2020;30.1;22.7;25.8;35.2;22.7;27.4;23.4;87.1;19.1;100;66.7;rain;0;0;30.2;18.4;258.7;1012.7;85.4;6.8;221.1;19.2;8;;2020-01-02T05:25:10;2020-01-02T17:59:07;0.22;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/3/2020;30.1;23.4;25.9;36.3;23.4;27.5;23.7;88.3;9.1;100;54.2;rain;0;0;37.4;27.7;311.5;1010.5;75.0;5.9;171.7;14.8;8;;2020-01-03T05:25:41;2020-01-03T17:59:31;0.25;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/4/2020;30.1;23.6;25.7;36.3;23.6;26.9;23.7;89.1;9.9;100;75.0;rain;0;0;43.6;13.3;251.0;1009.1;79.3;6.4;151.6;13.2;6;;2020-01-04T05:26:13;2020-01-04T17:59:55;0.29;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/5/2020;29.1;23.2;25.4;35.8;23.2;26.9;23.8;91.3;18.5;100;87.5;rain;0;0;47.5;22.7;254.1;1009.4;79.1;5.5;152.0;13.3;6;;2020-01-05T05:26:44;2020-01-05T18:00:18;0.32;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/6/2020;31.1;22.9;25.7;37.9;22.9;27.2;23.8;89.8;15.3;100;58.3;rain;0;0;39.6;14.8;340.6;1009.7;72.4;6.0;180.1;15.6;7;;2020-01-06T05:27:16;2020-01-06T18:00:40;0.35;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/7/2020;30.1;22.8;25.3;35.8;22.8;26.8;23.9;92.4;13.2;100;58.3;rain;0;0;35.6;15.1;305.7;1009.5;78.7;6.2;138.8;12.0;6;;2020-01-07T05:27:47;2020-01-07T18:01:02;0.38;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/8/2020;29.1;23.1;25.4;35.8;23.1;27.1;24.1;92.6;99.9;100;83.3;rain;0;0;24.8;14.8;226.6;1008.9;77.1;5.6;82.3;7.0;7;;2020-01-08T05:28:18;2020-01-08T18:01:22;0.42;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/9/2020;29.1;22.8;25.3;35.8;22.8;26.8;23.8;91.9;20.9;100;70.8;rain;0;0;30.6;32.4;238.6;1008.8;76.4;5.1;176.6;15.2;6;;2020-01-09T05:28:48;2020-01-09T18:01:42;0.45;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/10/2020;29.1;22.8;25.2;34.7;22.8;26.5;22.7;86.8;16.2;100;37.5;rain;0;0;36.0;18.4;307.1;1009.1;74.6;6.4;177.1;15.4;7;;2020-01-10T05:29:19;2020-01-10T18:02:02;0.48;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/11/2020;29.1;23.1;24.9;34.7;23.1;25.3;22.2;85.4;8.7;100;66.7;rain;0;0;25.2;9.4;281.1;1010.2;90.8;6.0;82.7;7.1;3;;2020-01-11T05:29:49;2020-01-11T18:02:20;0.50;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/12/2020;32.1;22.6;26.6;36.9;22.6;28.3;22.6;80.3;1.1;100;45.8;rain;0;0;34.6;13.3;257.3;1008.8;80.6;7.0;186.5;16.1;7;;2020-01-12T05:30:19;2020-01-12T18:02:37;0.55;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/13/2020;31.1;22.9;26.5;36.7;22.9;28.4;23.2;83.0;0.0;0;0.0;;0;0;35.6;15.8;246.5;1008.0;63.8;6.5;282.7;24.4;9;;2020-01-13T05:30:49;2020-01-13T18:02:54;0.59;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;96633699999,remote
Yogyakarta;1/14/2020;31.1;21.2;26.2;39.3;21.2;28.7;23.7;87.4;2.6;100;29.2;rain;0;0;23.4;27.7;2.8;1009.0;58.2;6.3;279.6;24.2;9;;2020-01-14T05:31:18;2020-01-14T18:03:10;0.62;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/15/2020;31.1;23.0;26.4;37.9;23.0;28.6;23.9;86.9;7.6;100;33.3;rain;0;0;23.4;16.6;306.9;1010.5;67.7;6.3;249.6;21.6;9;;2020-01-15T05:31:47;2020-01-15T18:03:25;0.66;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/16/2020;33.1;22.9;27.8;40.7;22.9;31.1;24.2;82.1;4.3;100;41.7;rain;0;0;26.6;14.8;207.5;1011.0;62.5;7.1;246.6;21.3;9;;2020-01-16T05:32:15;2020-01-16T18:03:39;0.69;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/17/2020;34.1;23.5;27.8;38.4;23.5;30.0;23.5;79.3;2.3;100;25.0;rain;0;0;28.8;16.6;228.4;1011.0;64.2;8.9;269.2;23.4;9;;2020-01-17T05:32:43;2020-01-17T18:03:52;0.75;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.;rain;96633699999,remote
Yogyakarta;1/18/2020;33.1;23.1;27.5;38.2;23.1;29.5;23.1;78.9;0.9;100;33.3;rain;0;0;20.2;11.2;226.2;1011.1;39.9;7.9;276.3;23.8;9;;2020-01-18T05:33:11;2020-01-18T18:04:04;0.76;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.;rain;96633699999,remote
Yogyakarta;1/19/2020;34.1;23.1;28.1;38.4;23.1;30.4;23.1;76.5;1.2;100;25.0;rain;0;0;23.4;14.8;223.7;1010.9;41.4;7.5;282.8;24.3;9;;2020-01-19T05:33:38;2020-01-19T18:04:15;0.80;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.;rain;96633699999,remote
Yogyakarta;1/20/2020;34.1;23.3;27.5;39.5;23.3;29.3;23.4;80.2;1.6;100;41.7;rain;0;0;25.2;18.4;301.7;1011.4;71.7;7.4;272.6;23.3;9;;2020-01-20T05:34:04;2020-01-20T18:04:26;0.83;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/21/2020;33.1;23.8;27.4;39.4;23.8;30.4;24.6;85.3;7.8;100;54.2;rain;0;0;22.0;14.8;358.3;1012.5;60.6;5.8;240.5;20.6;8;;2020-01-21T05:34:31;2020-01-21T18:04:35;0.87;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/22/2020;34.1;24.1;28.0;38.4;24.1;30.6;23.8;79.7;46.9;100;70.8;rain;0;0;27.0;14.8;357.0;1012.0;61.3;6.4;222.0;19.3;8;;2020-01-22T05:34:56;2020-01-22T18:04:43;0.90;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/23/2020;32.1;23.3;26.8;39.3;23.3;28.9;24.2;86.5;22.6;100;79.2;rain;0;0;22.0;9.4;17.9;1011.1;85.9;5.3;231.9;19.9;8;;2020-01-23T05:35:21;2020-01-23T18:04:51;0.94;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/24/2020;33.1;23.9;28.0;42.5;23.9;31.5;24.7;83.4;7.2;100;54.2;rain;0;0;22.0;18.4;345.5;1010.5;65.0;6.3;228.8;19.9;8;;2020-01-24T05:35:46;2020-01-24T18:04:57;0.98;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/25/2020;33.1;24.1;26.4;40.7;24.1;28.3;24.7;91.2;10.2;100;79.2;rain;0;0;28.4;18.4;49.0;1011.0;66.5;5.2;220.5;19.1;7;;2020-01-25T05:36:09;2020-01-25T18:05:03;0.00;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;96633699999,remote
Yogyakarta;1/26/2020;32.1;23.1;27.0;38.0;23.1;29.4;24.2;86.0;9.7;100;37.5;rain;0;0;23.8;18.4;3.4;1010.0;63.1;7.3;220.1;19.0;8;;2020-01-26T05:36:33;2020-01-26T18:05:07;0.04;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/27/2020;33.1;24.1;27.3;40.7;24.1;29.9;24.4;85.0;4.8;100;37.5;rain;0;0;24.5;14.8;25.1;1010.3;69.5;6.2;215.6;18.6;7;;2020-01-27T05:36:55;2020-01-27T18:05:11;0.07;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/28/2020;32.5;23.8;27.3;37.9;23.8;29.6;24.0;83.4;9.0;100;41.7;rain;0;0;23.0;14.8;318.9;1010.5;72.8;4.9;267.2;23.1;10;;2020-01-28T05:37:17;2020-01-28T18:05:13;0.11;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
Yogyakarta;1/29/2020;33.1;23.7;27.6;40.8;23.7;31.0;24.9;86.1;27.7;100;58.3;rain;0;0;21.6;11.2;15.3;1010.5;62.7;6.0;211.1;18.3;8;;2020-01-29T05:37:39;2020-01-29T18:05:15;0.14;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;96633699999,remote
