No,Model,Optimizer,Activation,Time Steps,Dropout Rate,MSE,RMSE,MAE,MAPE
1,"arimax(3,1,3)",,,,,0.10087,0.31760,0.17134,0.66861
2,mlp_adam_relu_d0,adam,relu,,0,0.02474,0.15730,0.09837,0.38800
3,mlp_adam_tanh_d0,adam,tanh,,0,0.06410,0.25319,0.13910,0.54407
4,mlp_adam_sigmoid_d0,adam,sigmoid,,0,0.05550,0.23559,0.20633,0.81505
5,mlp_adagrad_relu_d0,adagrad,relu,,0,0.40687,0.63787,0.44926,1.74813
6,mlp_adagrad_tanh_d0,adagrad,tanh,,0,0.04889,0.22112,0.16936,0.67760
7,mlp_adagrad_sigmoid_d0,adagrad,sigmoid,,0,1.08913,1.04362,0.80943,3.23033
8,mlp_rmsprop_relu_d0,rmsprop,relu,,0,0.02534,0.15917,0.12140,0.47424
9,mlp_rmsprop_tanh_d0,rmsprop,tanh,,0,0.09527,0.30867,0.16812,0.65721
10,mlp_rmsprop_sigmoid_d0,rmsprop,sigmoid,,0,0.12721,0.35666,0.30056,1.20069
11,mlp_adam_relu_d1,adam,relu,,0.01,0.05417,0.23274,0.16269,0.63748
12,mlp_adam_tanh_d1,adam,tanh,,0.01,0.10761,0.32804,0.19257,0.75574
13,mlp_adam_sigmoid_d1,adam,sigmoid,,0.01,0.03769,0.19414,0.14586,0.58267
14,mlp_adagrad_relu_d1,adagrad,relu,,0.01,0.28745,0.53615,0.38064,1.48250
15,mlp_adagrad_tanh_d1,adagrad,tanh,,0.01,0.08358,0.28911,0.22814,0.90626
16,mlp_adagrad_sigmoid_d1,adagrad,sigmoid,,0.01,1.05974,1.02944,0.79910,3.18698
17,mlp_rmsprop_relu_d1,rmsprop,relu,,0.01,0.02360,0.15363,0.10039,0.39208
18,mlp_rmsprop_tanh_d1,rmsprop,tanh,,0.01,0.09399,0.30657,0.25763,1.00366
19,mlp_rmsprop_sigmoid_d1,rmsprop,sigmoid,,0.01,0.05719,0.23915,0.17238,0.69353
20,mlp_adam_relu_d5,adam,relu,,0.05,0.03457,0.18593,0.12406,0.49030
21,mlp_adam_tanh_d5,adam,tanh,,0.05,0.13892,0.37271,0.20439,0.79917
22,mlp_adam_sigmoid_d5,adam,sigmoid,,0.05,0.05349,0.23128,0.17112,0.68790
23,mlp_adagrad_relu_d5,adagrad,relu,,0.05,0.27024,0.51985,0.38564,1.53261
24,mlp_adagrad_tanh_d5,adagrad,tanh,,0.05,0.03902,0.19755,0.14931,0.59725
25,mlp_adagrad_sigmoid_d5,adagrad,sigmoid,,0.05,1.09126,1.04463,0.80629,3.22125
26,mlp_rmsprop_relu_d5,rmsprop,relu,,0.05,0.02999,0.17319,0.13331,0.52309
27,mlp_rmsprop_tanh_d5,rmsprop,tanh,,0.05,0.10890,0.33001,0.20544,0.79816
28,mlp_rmsprop_sigmoid_d5,rmsprop,sigmoid,,0.05,0.06412,0.25321,0.18885,0.75875
29,mlp_adam_relu_d10,adam,relu,,0.1,0.02511,0.15846,0.10073,0.39502
30,mlp_adam_tanh_d10,adam,tanh,,0.1,0.08066,0.28400,0.15589,0.60679
31,mlp_adam_sigmoid_d10,adam,sigmoid,,0.1,0.08813,0.29686,0.21253,0.85963
32,mlp_adagrad_relu_d10,adagrad,relu,,0.1,0.38343,0.61922,0.47420,1.86044
33,mlp_adagrad_tanh_d10,adagrad,tanh,,0.1,0.10393,0.32239,0.23223,0.93788
34,mlp_adagrad_sigmoid_d10,adagrad,sigmoid,,0.1,1.07294,1.03583,0.80497,3.21015
35,mlp_rmsprop_relu_d10,rmsprop,relu,,0.1,0.03024,0.17389,0.14898,0.58394
36,mlp_rmsprop_tanh_d10,rmsprop,tanh,,0.1,0.08565,0.29266,0.15723,0.61169
37,mlp_rmsprop_sigmoid_d10,rmsprop,sigmoid,,0.1,0.08967,0.29945,0.24056,0.94902
38,mlp_adam_relu_d15,adam,relu,,0.15,0.02401,0.15495,0.10836,0.42744
39,mlp_adam_tanh_d15,adam,tanh,,0.15,0.11262,0.33558,0.18197,0.70810
40,mlp_adam_sigmoid_d15,adam,sigmoid,,0.15,0.09420,0.30693,0.23706,0.94351
41,mlp_adagrad_relu_d15,adagrad,relu,,0.15,0.42979,0.65558,0.49157,1.91479
42,mlp_adagrad_tanh_d15,adagrad,tanh,,0.15,0.08828,0.29713,0.22026,0.88579
43,mlp_adagrad_sigmoid_d15,adagrad,sigmoid,,0.15,1.11474,1.05581,0.81831,3.26542
44,mlp_rmsprop_relu_d15,rmsprop,relu,,0.15,0.04699,0.21676,0.17886,0.70634
45,mlp_rmsprop_tanh_d15,rmsprop,tanh,,0.15,0.09145,0.30240,0.26201,1.02224
46,mlp_rmsprop_sigmoid_d15,rmsprop,sigmoid,,0.15,0.16609,0.40754,0.34148,1.33690
47,mlp_adam_relu_d20,adam,relu,,0.2,0.03195,0.17874,0.11701,0.46348
48,mlp_adam_tanh_d20,adam,tanh,,0.2,0.11941,0.34556,0.19165,0.75038
49,mlp_adam_sigmoid_d20,adam,sigmoid,,0.2,0.09805,0.31313,0.22699,0.91093
50,mlp_adagrad_relu_d20,adagrad,relu,,0.2,0.38630,0.62153,0.47031,1.84269
51,mlp_adagrad_tanh_d20,adagrad,tanh,,0.2,0.11124,0.33353,0.26466,1.04786
52,mlp_adagrad_sigmoid_d20,adagrad,sigmoid,,0.2,1.07676,1.03767,0.81095,3.22842
53,mlp_rmsprop_relu_d20,rmsprop,relu,,0.2,0.03189,0.17858,0.13999,0.54500
54,mlp_rmsprop_tanh_d20,rmsprop,tanh,,0.2,0.09012,0.30020,0.17406,0.67891
55,mlp_rmsprop_sigmoid_d20,rmsprop,sigmoid,,0.2,0.14428,0.37984,0.28709,1.14431
56,cnn_adam_relu_ts5_d0,adam,relu,5,0,1.43216,1.19673,0.85725,3.32444
57,cnn_adam_relu_ts10_d0,adam,relu,10,0,0.50132,0.70804,0.55273,2.15647
58,cnn_adam_relu_ts15_d0,adam,relu,15,0,0.51842,0.72002,0.57175,2.24161
59,cnn_adam_tanh_ts5_d0,adam,tanh,5,0,1.02278,1.01133,0.72119,2.82679
60,cnn_adam_tanh_ts10_d0,adam,tanh,10,0,0.38020,0.61660,0.47991,1.89114
